"scenario","estimand","s1_truth","s1_bias","s1_rmse","s1_mc_se","s1_coverage","s2_truth","s2_bias","s2_rmse","s2_mc_se","s2_coverage"
"CGa","DE",0.139094997884788,-0.00190699788478807,0.0213392899819227,0.0212751950366547,95.2,0.153402809613834,-0.0140908096138342,0.0263279617815987,0.0222621171436914,90.2
"CGa","IE",0.107119959680141,0.00291004031985909,0.0315101481218862,0.0314069082810701,94.6,0.0918947352088827,0.0173112647911173,0.0347432792445989,0.0301535077903737,90.2
"CGa","ATE",0.246214957564929,0.00100304243507099,0.0287382074967551,0.028749461544143,95.6,0.245297544822717,0.003220455177283,0.0298588849012968,0.0297144337173416,94
"CGb","DE",0.167754618529491,0.00117938147050897,0.0233303361453062,0.0233238428929409,96.6,0.153402809613834,0.0154311903861658,0.0287232324214058,0.0242503319812823,90.8
"CGb","IE",0.0662209553598127,-0.000794955359812693,0.0278335135766955,0.0278500228284123,95.2,0.0918947352088827,-0.0264127352088827,0.0387819836678651,0.0284257933478542,83.8
"CGb","ATE",0.233975573889304,0.000384426110696279,0.0274160205616093,0.027440779740845,94.6,0.245297544822717,-0.010981544822717,0.0290087309390353,0.0268766972992485,92.8
"CGc","DE",0.153402809613834,0.00085319038616577,0.0241375723268734,0.0241466474933963,94.6,0.153402809613834,0.00085319038616577,0.0241375723268734,0.0241466474933963,94.6
"CGc","IE",0.0918947352088827,0.00125326479111726,0.0315723418300996,0.0315790526953909,95.4,0.0918947352088827,0.00125326479111726,0.0315723418300996,0.0315790526953909,95.4
"CGc","ATE",0.245297544822717,0.002106455177283,0.0313045354128424,0.0312648647451907,94.4,0.245297544822717,0.002106455177283,0.0313045354128424,0.0312648647451907,94.4
